DAY,MONTH,YEAR,DAYNAME,DATE,HOUR,GENERAL_SUPPLY_KWH
7,11,2011,Monday,11/7/2011,13,0.284829365
10,3,2012,Saturday,3/10/2012,1,0.187571238
15,11,2012,Thursday,11/15/2012,13,0.225821131
11,11,2013,Monday,11/11/2013,23,0.205799249
23,4,2012,Monday,4/23/2012,5,0.186570647
22,7,2013,Monday,7/22/2013,1,0.261099970
19,10,2012,Friday,10/19/2012,7,0.270013725
12,1,2014,Sunday,1/12/2014,17,0.485837736
21,2,2013,Thursday,2/21/2013,1,0.190464950
7,7,2012,Saturday,7/7/2012,15,0.383204055
22,8,2013,Thursday,8/22/2013,15,0.264480811
23,7,2013,Tuesday,7/23/2013,9,0.406077253
1,2,2012,Wednesday,2/1/2012,3,0.183755682
29,7,2012,Sunday,7/29/2012,9,0.431291790
18,3,2013,Monday,3/18/2013,11,0.223676023
20,8,2012,Monday,8/20/2012,11,0.276087468
13,9,2013,Friday,9/13/2013,13,0.225028372
15,3,2012,Thursday,3/15/2012,15,0.341185609
21,8,2012,Tuesday,8/21/2012,3,0.205592553
15,6,2012,Friday,6/15/2012,13,0.268698352
30,7,2012,Monday,7/30/2012,1,0.250043472
6,11,2011,Sunday,11/6/2011,5,0.201821429
14,4,2013,Sunday,4/14/2013,5,0.147948186
10,5,2013,Friday,5/10/2013,7,0.306017606
21,8,2013,Wednesday,8/21/2013,7,0.460169289
5,11,2011,Saturday,11/5/2011,11,0.292476190
20,2,2013,Wednesday,2/20/2013,9,0.239597041
2,12,2012,Sunday,12/2/2012,3,0.235860923
19,3,2013,Tuesday,3/19/2013,3,0.144865068
13,4,2013,Saturday,4/13/2013,13,0.254228063
19,12,2011,Monday,12/19/2011,15,0.280697436
3,2,2014,Monday,2/3/2014,19,0.475525441
28,12,2012,Friday,12/28/2012,1,0.166387769
12,9,2013,Thursday,9/12/2013,5,0.158343081
4,11,2011,Friday,11/4/2011,3,0.132346774
31,1,2012,Tuesday,1/31/2012,11,0.317994236
18,12,2011,Sunday,12/18/2011,7,0.219702564
20,10,2012,Saturday,10/20/2012,15,0.365681666
9,5,2013,Thursday,5/9/2013,15,0.211296609
9,3,2012,Friday,3/9/2012,9,0.248210670
20,10,2013,Sunday,10/20/2013,21,0.327961105
16,3,2012,Friday,3/16/2012,7,0.304043019
14,11,2012,Wednesday,11/14/2012,5,0.182075560
3,12,2012,Monday,12/3/2012,11,0.237785087
16,6,2012,Saturday,6/16/2012,5,0.200630655
8,7,2012,Sunday,7/8/2012,7,0.294299692
24,2,2014,Monday,2/24/2014,23,0.231777004
30,6,2013,Sunday,6/30/2013,3,0.212088125
22,4,2012,Sunday,4/22/2012,13,0.339757960
1,7,2013,Monday,7/1/2013,11,0.343963003
29,12,2012,Saturday,12/29/2012,9,0.256898535
11,4,2012,Wednesday,4/11/2012,7,0.292395129
7,5,2012,Monday,5/7/2012,5,0.214565484
17,5,2012,Thursday,5/17/2012,5,0.228279698
13,2,2012,Monday,2/13/2012,1,0.173916279
17,12,2012,Monday,12/17/2012,11,0.232303879
13,12,2013,Friday,12/13/2013,17,0.436139282
